,Country,Subcontinent,Region,In EU,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
33,Burundi,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,8090068,72079.4217,290.7,0,-0.06,69.29,600,51.6,3.42,35.05,14.02,50.93,2,42.22,13.46,0.463,0.203,0.334
34,Cambodia,South & South East Asia,ASIA (EX. NEAR EAST),FALSE,13881427,468891.7896,76.68,0.24,0,71.48,1900,69.4,2.62,20.96,0.61,78.43,2,26.9,9.06,0.35,0.3,0.35
35,Cameroon,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,17340702,1231384.8456,36.47,0.08,0,68.26,1800,79,5.73,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
36,Canada,North America,NORTHERN AMERICA,FALSE,33098932,25860195.4533,3.31,2.02,5.96,4.75,29800,97,552.16,4.96,0.02,95.02,,10.78,7.8,0.022,0.294,0.684
37,Cape Verde,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,420979,10445.42967,104.38,23.93,-12.07,47.77,1400,76.6,169.6,9.68,0.5,89.82,3,24.87,6.55,0.121,0.219,0.66
38,Cayman Islands,Caribbean Islands,LATIN AMER. & CARIB,FALSE,45436,678.57738,173.42,61.07,18.75,8.19,35000,98,836.34,3.85,0,96.15,2,12.74,4.89,0.014,0.032,0.954
39,Central African Rep.,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,4303356,1613522.33016,6.91,0,0,91,1100,51,2.32,3.1,0.14,96.76,2,33.91,18.65,0.55,0.2,0.25
40,Chad,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,9944201,3325547.16,7.74,0,-0.11,93.82,1200,47.5,1.31,2.86,0.02,97.12,2,45.73,16.38,0.335,0.259,0.406
41,Chile,South America,LATIN AMER. & CARIB,FALSE,16134219,1960492.9305,21.31,0.85,0,8.8,9900,96.2,212.96,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447
42,China,East Asia,ASIA (EX. NEAR EAST),FALSE,1313973713,24856030.4304,136.92,0.15,-0.4,24.18,5000,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.97,0.125,0.473,0.403
43,Colombia,South America,LATIN AMER. & CARIB,FALSE,43593035,2949765.5109,38.28,0.28,-0.31,20.97,6300,92.5,176.15,2.42,1.67,95.91,2,20.48,5.58,0.125,0.342,0.533
44,Comoros,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,690948,5620.2783,318.41,15.67,0,74.93,700,56.5,24.46,35.87,23.32,40.81,2,36.93,8.2,0.4,0.04,0.56
45,"Congo, Dem. Rep.",Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,62660551,6074588.4459,26.72,0,0,94.69,700,65.5,0.17,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34
46,"Congo, Repub. of the",Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,3702314,885776.58,10.83,0.05,-0.17,93.86,700,83.8,3.73,0.51,0.13,99.36,2,42.57,12.93,0.062,0.57,0.369
47,Cook Islands,Oceania,OCEANIA,FALSE,21388,621.5976,89.12,50,,,5000,95,289.88,17.39,13.04,69.57,2,21,,0.151,0.096,0.753
48,Costa Rica,Mesoamerica,LATIN AMER. & CARIB,FALSE,4075261,132348.489,79.75,2.52,0.51,9.95,9100,96,340.71,4.41,5.88,89.71,2,18.32,4.36,0.088,0.299,0.614
49,Cote d'Ivoire,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,17654843,835168.1754,54.75,0.16,-0.07,90.83,1400,50.9,14.61,9.75,13.84,76.41,2,35.11,14.84,0.279,0.171,0.55
50,Croatia,Europe,EASTERN EUROPE,TRUE,4494749,146443.21458,79.49,10.32,1.58,6.84,10600,98.5,420.38,26.09,2.27,71.65,,9.61,11.48,0.07,0.308,0.622
51,Cuba,Caribbean Islands,LATIN AMER. & CARIB,FALSE,11382820,287126.2914,102.68,3.37,-1.58,6.33,2900,97,74.67,33.05,7.6,59.35,2,11.89,7.22,0.055,0.261,0.684
52,Cyprus,West & Central Asia,NEAR EAST,TRUE,784301,23957.4075,84.79,7.01,0.43,7.18,19200,97.6,,7.79,4.44,87.77,3,12.56,7.68,0.037,0.198,0.765
53,Czech Republic,Europe,EASTERN EUROPE,TRUE,10235455,204262.15134,129.78,0,0.97,3.93,15700,99.9,314.33,39.8,3.05,57.15,3,9.02,10.59,0.034,0.393,0.573
